Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1597,Jens Petter Hauge,no NOR,"MF,DF",Eint Frankfurt,de Bundesliga,24-009,1999,2,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.19,0.12,0.19,Matches
1598,Germán Pezzella,ar ARG,DF,Betis,es La Liga,32-116,1991,8,8,720,8.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,0,21,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
1599,Giuseppe Pezzella,it ITA,DF,Empoli,it Serie A,25-326,1997,6,4,331,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,22,21,11,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
1600,Luca Pfeiffer,de GER,FW,Darmstadt 98,de Bundesliga,27-062,1996,7,6,452,5.0,0,0,0,0,0,0,2,0,0.9,0.9,0.2,1.1,5,8,16,0.00,0.00,0.00,0.00,0.00,0.17,0.04,0.22,0.17,0.22,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1601,Patric Pfeiffer,de GER,DF,Augsburg,de Bundesliga,24-062,1999,4,4,325,3.6,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,1,11,3,0.00,0.28,0.28,0.00,0.28,0.04,0.16,0.19,0.04,0.19,Matches
1602,Maximilian Philipp,de GER,"MF,FW",Freiburg,de Bundesliga,29-234,1994,5,0,155,1.7,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.3,2,4,14,0.58,0.00,0.58,0.58,0.58,0.14,0.03,0.17,0.14,0.17,Matches
1603,Kalvin Phillips,eng ENG,MF,Manchester City,eng Premier League,27-323,1995,3,0,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,7,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
1604,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,eng Premier League,21-255,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1605,Roberto Piccoli,it ITA,FW,Empoli,it Serie A,22-267,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
1606,Roberto Piccoli,it ITA,FW,Lecce,it Serie A,22-267,2001,6,0,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
1607,Florian Pick,de GER,"MF,FW",Heidenheim,de Bundesliga,28-043,1995,6,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,5,4,9,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,Matches
1608,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,29-228,1994,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
1609,Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,25-277,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1.0,3,23,3,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17,Matches
1610,Marvin Pieringer,de GER,"MF,FW",Heidenheim,de Bundesliga,24-017,1999,7,5,385,4.3,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,9,8,17,0.23,0.00,0.23,0.23,0.23,0.10,0.03,0.13,0.10,0.13,Matches
1611,Ronaël Pierre-Gabriel,fr FRA,DF,Nantes,fr Ligue 1,25-130,1998,8,5,466,5.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,9,10,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
1612,Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,24-155,1999,8,8,592,6.6,4,0,4,4,0,0,1,0,1.3,1.3,0.4,1.7,3,5,27,0.61,0.00,0.61,0.61,0.61,0.20,0.05,0.26,0.20,0.26,Matches
1613,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,30-145,1993,8,8,720,8.0,0,0,0,0,0,0,0,0,0.8,0.8,0.9,1.7,4,25,5,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.22,0.11,0.22,Matches
1614,Yeremi Pino,es ESP,"MF,FW",Villarreal,es La Liga,21-001,2002,6,6,430,4.8,0,0,0,0,0,0,4,0,1.4,1.4,0.2,1.6,10,10,47,0.00,0.00,0.00,0.00,0.00,0.28,0.05,0.33,0.28,0.33,Matches
1615,Lorenzo Pirola,it ITA,DF,Salernitana,it Serie A,21-243,2002,7,6,482,5.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4,26,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
1616,Alassane Pléa,fr FRA,"MF,FW",M'Gladbach,de Bundesliga,30-225,1993,7,6,452,5.0,2,1,3,2,0,0,0,0,1.7,1.7,1.2,2.9,13,24,42,0.40,0.20,0.60,0.40,0.60,0.33,0.24,0.57,0.33,0.57,Matches
1617,Tommaso Pobega,it ITA,MF,Milan,it Serie A,24-098,1999,5,0,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
1618,Paul Pogba,fr FRA,MF,Juventus,it Serie A,30-220,1993,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
1619,Matteo Politano,it ITA,FW,Napoli,it Serie A,30-079,1993,8,5,429,4.8,3,1,4,2,1,1,1,0,1.6,0.8,1.4,2.1,21,42,42,0.63,0.21,0.84,0.42,0.63,0.33,0.28,0.61,0.17,0.45,Matches
1620,Julien Ponceau,fr FRA,MF,Lorient,fr Ligue 1,22-327,2000,8,7,509,5.7,1,1,2,1,0,0,1,0,0.4,0.4,0.2,0.6,19,40,27,0.18,0.18,0.35,0.18,0.35,0.08,0.03,0.11,0.08,0.11,Matches
1621,Marin Pongračić,hr CRO,DF,Lecce,it Serie A,26-040,1997,8,8,720,8.0,0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.7,11,27,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
1622,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,31-185,1992,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1623,Pedro Porro,es ESP,DF,Tottenham,eng Premier League,24-038,1999,7,7,626,7.0,0,1,1,0,0,0,1,0,0.8,0.8,1.4,2.2,10,36,24,0.00,0.14,0.14,0.00,0.14,0.12,0.19,0.31,0.12,0.31,Matches
1624,Portu,es ESP,FW,Getafe,es La Liga,31-153,1992,3,0,97,1.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.15,0.14,0.29,0.15,0.29,Matches
1625,Portu,es ESP,"MF,FW",Girona,es La Liga,31-153,1992,5,0,138,1.5,1,0,1,1,0,0,0,0,0.5,0.5,0.5,1.0,3,2,8,0.65,0.00,0.65,0.65,0.65,0.34,0.32,0.65,0.34,0.65,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1626,Stefan Posch,at AUT,DF,Bologna,it Serie A,26-160,1997,5,4,302,3.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,4,19,6,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
1627,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,29-128,1994,7,4,394,4.4,0,1,1,0,0,0,0,0,0.5,0.5,0.1,0.6,2,3,28,0.00,0.23,0.23,0.00,0.23,0.11,0.02,0.13,0.11,0.13,Matches
1628,Alejandro Pozo Pozo,es ESP,DF,Almería,es La Liga,24-241,1999,6,2,200,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,8,9,16,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,Matches
1629,Beñat Prados,es ESP,"MF,DF",Athletic Club,es La Liga,22-255,2001,5,0,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,4,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
1630,Matteo Prati,it ITA,MF,Cagliari,it Serie A,19-297,2003,3,2,214,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
1631,Abdón Prats,es ESP,FW,Mallorca,es La Liga,30-318,1992,6,4,260,2.9,4,1,5,4,0,0,0,0,1.3,1.3,0.7,2.0,1,6,13,1.38,0.35,1.73,1.38,1.73,0.46,0.24,0.70,0.46,0.70,Matches
1632,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,29-335,1993,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.23,0.24,0.01,0.24,Matches
1633,Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,28-285,1995,7,7,548,6.1,1,3,4,1,0,0,1,0,1.0,1.0,1.1,2.1,7,24,17,0.16,0.49,0.66,0.16,0.66,0.17,0.18,0.35,0.17,0.35,Matches
1634,Ivan Provedel,it ITA,GK,Lazio,it Serie A,29-218,1994,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1635,Pubill,es ESP,DF,Almería,es La Liga,20-123,2003,4,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,6,6,15,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,Matches
1636,Gustavo Puerta,co COL,"FW,MF",Leverkusen,de Bundesliga,20-090,2003,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1637,Antonio Puertas,es ESP,"MF,FW",Granada,es La Liga,31-242,1992,9,3,378,4.2,0,2,2,0,0,1,0,1,1.0,0.2,0.3,0.4,11,11,22,0.00,0.48,0.48,0.00,0.48,0.23,0.06,0.29,0.04,0.10,Matches
1638,Arnau Puigmal,es ESP,"DF,FW",Almería,es La Liga,22-284,2001,6,2,182,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,3,7,11,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
1639,Christian Pulisic,us USA,"FW,MF",Milan,it Serie A,25-033,1998,8,7,566,6.3,4,1,5,4,0,0,1,0,1.6,1.6,0.3,2.0,26,22,57,0.64,0.16,0.80,0.64,0.80,0.26,0.05,0.31,0.26,0.31,Matches
1640,George Pușcaș,ro ROU,FW,Genoa,it Serie A,27-196,1996,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1641,Jarrell Quansah,eng ENG,DF,Liverpool,eng Premier League,20-265,2003,3,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1642,Domingos Quina,pt POR,MF,Udinese,it Serie A,23-337,1999,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1643,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28-201,1995,8,8,720,8.0,1,2,3,1,0,0,4,0,1.6,1.6,1.5,3.1,15,25,25,0.12,0.25,0.37,0.12,0.37,0.20,0.19,0.39,0.20,0.39,Matches
1644,Uroš Račić,rs SRB,MF,Sassuolo,it Serie A,25-218,1998,3,1,115,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,6,2,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
1645,Nemanja Radonjić,rs SRB,"MF,FW",Torino,it Serie A,27-248,1996,7,4,345,3.8,3,0,3,3,0,0,0,0,1.7,1.7,0.2,1.9,11,4,22,0.78,0.00,0.78,0.78,0.78,0.45,0.05,0.50,0.45,0.50,Matches
1646,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,27-148,1996,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1647,Hamza Rafia,tn TUN,MF,Lecce,it Serie A,24-202,1999,8,7,458,5.1,1,0,1,1,0,0,3,0,0.4,0.4,0.3,0.6,9,17,18,0.20,0.00,0.20,0.20,0.20,0.07,0.06,0.13,0.07,0.13,Matches
1648,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,32-013,1991,2,1,89,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,3,3,0,1.01,0.00,1.01,1.01,1.01,0.10,0.00,0.10,0.10,0.10,Matches
1649,Predrag Rajković,rs SRB,GK,Mallorca,es La Liga,27-355,1995,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1650,Jesuran Rak Sakyi,eng ENG,"MF,DF",Crystal Palace,eng Premier League,21-016,2002,4,0,75,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,1,12,0.00,0.00,0.00,0.00,0.00,0.21,0.12,0.33,0.21,0.33,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1651,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,35-225,1988,7,6,549,6.1,0,1,1,0,0,0,2,0,0.5,0.5,1.9,2.4,9,38,23,0.00,0.16,0.16,0.00,0.16,0.08,0.32,0.40,0.08,0.40,Matches
1652,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,27-192,1996,8,8,698,7.8,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,35,3,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
1653,Largie Ramazani,be BEL,"FW,MF",Almería,es La Liga,22-236,2001,9,5,498,5.5,0,4,4,0,0,0,3,0,1.5,1.5,4.0,5.5,17,18,32,0.00,0.72,0.72,0.00,0.72,0.27,0.72,0.99,0.27,0.99,Matches
1654,Benito Ramírez,es ESP,"FW,DF",Las Palmas,es La Liga,28-102,1995,3,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,5,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
1655,Sandro Ramírez,es ESP,FW,Las Palmas,es La Liga,28-104,1995,4,4,348,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,19,10,53,0.00,0.00,0.00,0.00,0.00,0.10,0.15,0.25,0.10,0.25,Matches
1656,Chris Ramos,es ESP,"FW,MF",Cádiz,es La Liga,26-276,1997,9,8,680,7.6,2,1,3,2,0,0,1,0,1.9,1.9,0.5,2.4,9,6,21,0.26,0.13,0.40,0.26,0.40,0.24,0.07,0.31,0.24,0.31,Matches
1657,Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,22-123,2001,7,4,401,4.5,2,0,2,2,0,0,0,0,2.6,2.6,0.7,3.3,4,12,36,0.45,0.00,0.45,0.45,0.45,0.59,0.15,0.74,0.59,0.74,Matches
1658,Sergio Ramos,es ESP,DF,Sevilla,es La Liga,37-205,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
1659,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25-160,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1660,Aaron Ramsey,eng ENG,"FW,MF",Burnley,eng Premier League,20-273,2003,5,2,207,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,4,5,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.20,0.02,0.20,Matches
1661,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,22-146,2001,2,0,50,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,4,2,0,1.80,0.00,1.80,1.80,1.80,0.34,0.00,0.34,0.34,0.34,Matches
1662,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,24-181,1999,4,3,278,3.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
1663,Filippo Ranocchia,it ITA,MF,Empoli,it Serie A,22-160,2001,2,2,126,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
1664,Grant Ranos,am ARM,"MF,FW",M'Gladbach,de Bundesliga,20-093,2003,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
1665,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,26-311,1996,6,3,214,2.4,2,1,3,2,0,0,1,1,1.1,1.1,1.1,2.2,5,12,27,0.84,0.42,1.26,0.84,1.26,0.45,0.45,0.90,0.45,0.90,Matches
1666,Nicolai Rapp,de GER,DF,Werder Bremen,de Bundesliga,26-312,1996,2,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1667,Elba Rashani,xk KVX,MF,Clermont Foot,fr Ligue 1,30-165,1993,4,1,138,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
1668,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,25-355,1997,8,8,669,7.4,1,1,2,1,0,0,1,0,2.8,2.8,1.1,3.8,36,21,71,0.13,0.13,0.27,0.13,0.27,0.37,0.14,0.52,0.37,0.52,Matches
1669,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,23-245,2000,8,3,396,4.4,1,1,2,1,0,1,0,0,1.8,1.0,0.5,1.5,9,14,28,0.23,0.23,0.45,0.23,0.45,0.40,0.11,0.51,0.22,0.33,Matches
1670,Raúl,es ESP,"FW,MF",Osasuna,es La Liga,22-352,2000,9,3,271,3.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.7,2,5,9,0.00,0.00,0.00,0.00,0.00,0.18,0.04,0.22,0.18,0.22,Matches
1671,David Raum,de GER,DF,RB Leipzig,de Bundesliga,25-182,1998,7,7,616,6.8,1,2,3,1,0,0,1,0,0.1,0.1,1.0,1.2,25,29,53,0.15,0.29,0.44,0.15,0.44,0.02,0.15,0.17,0.02,0.17,Matches
1672,David Raya,es ESP,GK,Arsenal,eng Premier League,28-036,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1673,Tim Ream,us USA,DF,Fulham,eng Premier League,36-016,1987,7,7,603,6.7,1,0,1,1,0,0,3,1,1.0,1.0,0.0,1.0,10,34,2,0.15,0.00,0.15,0.15,0.15,0.14,0.00,0.14,0.14,0.14,Matches
1674,Abderrahman Rebbach,dz ALG,"FW,DF",Alavés,es La Liga,25-071,1998,6,1,149,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,5,6,14,0.00,0.00,0.00,0.00,0.00,0.07,0.25,0.32,0.07,0.32,Matches
1675,Nathan Redmond,eng ENG,"MF,DF",Burnley,eng Premier League,29-229,1994,3,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.00,0.38,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1676,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,28-267,1995,8,6,494,5.5,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,17,23,0.00,0.18,0.18,0.00,0.18,0.00,0.12,0.12,0.00,0.12,Matches
1677,Sergio Reguilón,es ESP,DF,Manchester Utd,eng Premier League,26-309,1996,2,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
1678,Bobby Reid,jm JAM,FW,Fulham,eng Premier League,30-261,1993,7,5,436,4.8,2,0,2,2,0,0,1,0,2.5,2.5,0.1,2.6,15,13,26,0.41,0.00,0.41,0.41,0.41,0.52,0.03,0.55,0.52,0.55,Matches
1679,Tijjani Reijnders,nl NED,MF,Milan,it Serie A,25-084,1998,8,8,674,7.5,0,1,1,0,0,0,0,0,1.4,1.4,0.7,2.1,19,36,24,0.00,0.13,0.13,0.00,0.13,0.19,0.09,0.28,0.19,0.28,Matches
1680,Reinier,br BRA,FW,Frosinone,it Serie A,21-275,2002,1,1,75,0.8,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.8,1,4,6,1.20,0.00,1.20,1.20,1.20,0.46,0.55,1.01,0.46,1.01,Matches
1681,Rocco Reitz,de GER,MF,M'Gladbach,de Bundesliga,21-145,2002,7,5,422,4.7,0,1,1,0,0,0,0,0,0.2,0.2,1.0,1.2,12,17,12,0.00,0.21,0.21,0.00,0.21,0.04,0.22,0.27,0.04,0.27,Matches
1682,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28-211,1995,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1683,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,18-224,2005,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1684,Mateo Retegui,it ITA,FW,Genoa,it Serie A,24-175,1999,7,7,565,6.3,3,1,4,3,0,0,3,0,1.2,1.2,0.1,1.3,2,5,21,0.48,0.16,0.64,0.48,0.64,0.20,0.02,0.21,0.20,0.21,Matches
1685,Marco Reus,de GER,MF,Dortmund,de Bundesliga,34-143,1989,6,5,393,4.4,3,2,5,3,0,0,1,0,1.5,1.5,1.7,3.2,6,14,13,0.69,0.46,1.15,0.69,1.15,0.35,0.39,0.74,0.35,0.74,Matches
1686,Elvis Rexhbeçaj,de GER,MF,Augsburg,de Bundesliga,25-354,1997,7,7,590,6.6,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,2,27,7,0.15,0.00,0.15,0.15,0.15,0.05,0.04,0.10,0.05,0.10,Matches
1687,Gio Reyna,us USA,"MF,FW",Dortmund,de Bundesliga,20-342,2002,2,0,56,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,6,6,0.00,0.00,0.00,0.00,0.00,0.28,0.40,0.68,0.28,0.68,Matches
1688,Chadi Riad,ma MAR,DF,Betis,es La Liga,20-126,2003,4,3,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1689,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,24-073,1999,6,5,482,5.4,0,0,0,0,0,0,2,1,0.3,0.3,0.0,0.3,4,22,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
1690,Samuele Ricci,it ITA,MF,Torino,it Serie A,22-061,2001,7,7,604,6.7,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,13,40,13,0.00,0.15,0.15,0.00,0.15,0.02,0.10,0.12,0.02,0.12,Matches
1691,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,24-280,1999,8,8,664,7.4,1,0,1,1,0,0,0,0,0.7,0.7,0.8,1.5,11,45,11,0.14,0.00,0.14,0.14,0.14,0.09,0.11,0.20,0.09,0.20,Matches
1692,Chris Richards,us USA,"DF,MF",Crystal Palace,eng Premier League,23-207,2000,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1693,Amir Richardson,ma MAR,MF,Reims,fr Ligue 1,21-270,2002,5,3,224,2.5,1,1,2,1,0,0,2,0,0.4,0.4,0.5,0.9,5,8,7,0.40,0.40,0.80,0.40,0.80,0.16,0.19,0.35,0.16,0.35,Matches
1694,Richarlison,br BRA,FW,Tottenham,eng Premier League,26-164,1997,8,5,395,4.4,1,2,3,1,0,0,2,0,2.5,2.5,0.8,3.4,7,12,37,0.23,0.46,0.68,0.23,0.68,0.58,0.19,0.77,0.58,0.77,Matches
